Date,Close
2003/6/9,104.28
2003/6/10,104.45
2003/6/11,104.54
2003/6/12,104.65
2003/6/13,104.76
2003/6/16,104.76
2003/6/17,104.73
2003/6/18,104.75
2003/6/19,104.75
2003/6/20,104.79
2003/6/23,104.83
2003/6/24,104.8
2003/6/25,104.82
2003/6/26,104.7
2003/6/27,104.75
2003/6/30,104.67
2003/7/1,104.73
2003/7/2,104.78
2003/7/3,104.8
2003/7/4,104.93
2003/7/7,104.93
2003/7/8,104.98
2003/7/9,105.03
2003/7/10,105.1
2003/7/11,105.19
2003/7/14,105.2
2003/7/15,105.23
2003/7/16,105.3
2003/7/17,105.31
2003/7/18,105.2
2003/7/21,105.21
2003/7/22,105.19
2003/7/23,105.16
2003/7/24,105.22
2003/7/25,105.27
2003/7/28,105.3
2003/7/29,105.26
2003/7/30,105.3
2003/7/31,105.2
2003/8/1,105.22
2003/8/4,105.17
2003/8/5,105.21
2003/8/6,105.18
2003/8/7,105.18
2003/8/8,105.27
2003/8/11,105.17
2003/8/12,105.09
2003/8/13,105.01
2003/8/14,104.88
2003/8/15,104.88
2003/8/18,104.95
2003/8/19,104.98
2003/8/20,104.92
2003/8/21,104.84
2003/8/22,104.63
2003/8/25,104.15
2003/8/26,104.1
2003/8/27,104.23
2003/8/28,104.37
2003/8/29,104.38
2003/9/1,104.34
2003/9/2,104.38
2003/9/3,104.34
2003/9/4,103.97
2003/9/5,103.89
2003/9/8,103.77
2003/9/9,103.66
2003/9/10,103.53
2003/9/11,103.45
2003/9/12,103.37
2003/9/15,103.09
2003/9/16,102.53
2003/9/17,102.58
2003/9/18,102.68
2003/9/19,102.72
2003/9/22,102.53
2003/9/23,102.27
2003/9/24,101.6
2003/9/25,101.37
2003/9/26,101.34
2003/9/29,101.44
2003/9/30,101.73
2003/10/8,101.66
2003/10/9,101.54
2003/10/10,101.58
2003/10/13,101.34
2003/10/14,101.41
2003/10/15,101.29
2003/10/16,100.88
2003/10/17,100.09
2003/10/20,98.87
2003/10/21,99.06
2003/10/22,99.08
2003/10/23,99.24
2003/10/24,99.16
2003/10/27,99.14
2003/10/28,98.91
2003/10/29,98.97
2003/10/30,99.14
2003/10/31,99.14
2003/11/3,99.23
2003/11/4,99.24
2003/11/5,99.65
2003/11/6,99.94
2003/11/7,99.93
2003/11/10,99.86
2003/11/11,99.79
2003/11/12,99.81
2003/11/13,99.73
2003/11/14,99.73
2003/11/17,99.81
2003/11/18,99.77
2003/11/19,99.93
2003/11/20,99.87
2003/11/21,100.05
2003/11/24,99.7
2003/11/25,99.61
2003/11/26,99.69
2003/11/27,99.6
2003/11/28,99.66
2003/12/1,99.65
2003/12/2,99.67
2003/12/3,99.58
2003/12/4,99.57
2003/12/5,99.52
2003/12/8,99.43
2003/12/9,99.33
2003/12/10,99.33
2003/12/11,99.62
2003/12/12,99.53
2003/12/15,99.52
2003/12/16,99.45
2003/12/17,99.48
2003/12/18,99.36
2003/12/19,99.28
2003/12/22,99.3
2003/12/23,99.41
2003/12/24,99.57
2003/12/25,99.65
2003/12/26,99.66
2003/12/29,99.62
2003/12/30,99.64
2003/12/31,99.93
2004/1/2,99.7
