Date,Close
2005/1/4,98.89
2005/1/5,99.08
2005/1/6,99.55
2005/1/7,100.22
2005/1/10,100.03
2005/1/11,100.33
2005/1/12,100.55
2005/1/13,100.35
2005/1/14,100
2005/1/17,99.59
2005/1/18,98.51
2005/1/19,98.46
2005/1/20,98.03
2005/1/21,97.9
2005/1/24,98.24
2005/1/25,97.71
2005/1/26,97.86
2005/1/27,97.71
2005/1/28,96.92
2005/1/31,96.21
2005/2/1,96.57
2005/2/2,96.13
2005/2/3,96.35
2005/2/4,96.31
2005/2/16,97.78
2005/2/17,97.92
2005/2/18,98.55
2005/2/21,99.3
2005/2/22,100.86
2005/2/23,101.23
2005/2/24,102.61
2005/2/25,101.63
2005/2/28,105.43
2005/3/1,105.54
2005/3/2,107.61
2005/3/3,107.76
2005/3/4,107.25
2005/3/7,109.06
2005/3/8,107.45
2005/3/9,108.4
2005/3/10,109.44
2005/3/11,110.55
2005/3/14,113.29
2005/3/15,116.05
2005/3/16,119.08
2005/3/17,117.79
2005/3/18,114.61
2005/3/21,114.8
2005/3/22,113.28
2005/3/23,111.8
2005/3/24,113.39
2005/3/25,114.7
2005/3/28,114.58
2005/3/29,114.31
2005/3/30,113.01
2005/3/31,116.18
2005/4/1,113.85
2005/4/4,113.03
2005/4/5,112.72
2005/4/6,113.53
2005/4/7,114.54
2005/4/8,113.54
2005/4/11,111.94
2005/4/12,113.16
2005/4/13,111.93
2005/4/14,112.08
2005/4/15,111.52
2005/4/18,110.85
2005/4/19,112.2
2005/4/20,114.99
2005/4/21,112.4
2005/4/22,113.41
2005/4/25,113.96
2005/4/26,113.34
2005/4/27,113.01
2005/4/28,113.16
2005/4/29,112.57
2005/5/9,112.95
2005/5/10,112.85
2005/5/11,112.52
2005/5/12,112.57
2005/5/13,110.53
2005/5/16,110.57
2005/5/17,110.29
2005/5/18,110.94
2005/5/19,111.16
2005/5/20,111.16
2005/5/23,113.02
2005/5/24,112.03
2005/5/25,112.34
2005/5/26,114.36
2005/5/27,115.05
2005/5/30,115.07
2005/5/31,115.47
2005/6/1,114.05
2005/6/2,113.7
2005/6/3,112.87
2005/6/6,115.72
2005/6/7,114.55
2005/6/8,114.12
2005/6/9,114.11
2005/6/10,114.32
2005/6/13,114.31
2005/6/14,113.94
2005/6/15,114.63
2005/6/16,115.77
2005/6/17,116.21
2005/6/20,118.45
2005/6/21,117.77
2005/6/22,118.19
2005/6/23,116.42
2005/6/24,117.09
2005/6/27,116.11
2005/6/28,112.63
2005/6/29,112.49
2005/6/30,110.92
2005/7/1,111.81
2005/7/4,113.08
2005/7/5,113.05
2005/7/6,113.61
2005/7/7,113.27
2005/7/8,113.11
2005/7/11,113.14
2005/7/12,113.78
2005/7/13,112.72
2005/7/14,113.13
2005/7/15,113.32
2005/7/18,112.65
2005/7/19,112.54
2005/7/20,110.18
2005/7/21,110.72
2005/7/22,108.42
2005/7/25,108.24
2005/7/26,108.7
2005/7/27,108.88
2005/7/28,108.49
2005/7/29,108.36
2005/8/1,106.84
2005/8/2,107.97
2005/8/3,107.86
2005/8/4,106.86
2005/8/5,106.98
2005/8/8,106.85
2005/8/9,106.14
2005/8/10,105.24
2005/8/11,105.51
2005/8/12,105.39
2005/8/15,104.26
2005/8/16,102.99
2005/8/17,102.3
2005/8/18,103.26
2005/8/19,103.1
2005/8/22,104.4
2005/8/23,104.72
2005/8/24,104.33
2005/8/25,104.38
2005/8/26,102.93
2005/8/29,104.35
2005/8/30,104.25
2005/8/31,105.51
2005/9/1,104.91
2005/9/2,106.24
2005/9/5,106
2005/9/6,106.16
2005/9/7,105.87
2005/9/8,105.81
2005/9/9,105.64
2005/9/12,104.15
2005/9/13,104.14
2005/9/14,104.15
2005/9/15,103.96
2005/9/16,104
2005/9/19,104.37
2005/9/20,104.12
2005/9/21,104.48
2005/9/22,104.35
2005/9/23,104.31
2005/9/26,103.85
2005/9/27,103.46
2005/9/28,103.71
2005/9/29,104.04
2005/9/30,103.57
2005/10/10,104.21
2005/10/11,105
2005/10/12,105.24
2005/10/13,107.12
2005/10/14,107.07
2005/10/17,107.29
2005/10/18,106.71
2005/10/19,106.36
2005/10/20,106.06
2005/10/21,104.17
2005/10/24,103.87
2005/10/25,103.47
2005/10/26,103.7
2005/10/27,103.87
2005/10/28,103.7
2005/10/31,103.62
2005/11/1,104.66
2005/11/2,104.31
2005/11/3,104.81
2005/11/4,105.02
2005/11/7,103.83
2005/11/8,103.89
2005/11/9,103.09
2005/11/10,103.61
2005/11/11,103.6
2005/11/14,103.55
2005/11/15,103.3
2005/11/16,103.29
2005/11/17,102.65
2005/11/18,101.45
2005/11/21,101.25
2005/11/22,101.5
2005/11/23,101.06
2005/11/24,100.17
2005/11/25,99.84
2005/11/28,97.25
2005/11/29,97.38
2005/11/30,98.27
2005/12/1,98.01
2005/12/2,98.52
2005/12/5,98.86
2005/12/6,99.81
2005/12/7,99.12
2005/12/8,98.91
2005/12/9,99.92
2005/12/12,101.53
2005/12/13,101.69
2005/12/14,102.36
2005/12/15,102.41
2005/12/16,103.15
2005/12/19,103.81
2005/12/20,104.3
2005/12/21,103.63
2005/12/22,105.06
2005/12/23,104.87
2005/12/26,105.14
2005/12/27,104.62
2005/12/28,104.15
2005/12/29,104.23
2005/12/30,103.39
2006/1/4,106.29
2006/1/5,106.29
2006/1/6,106.4
2006/1/9,105.46
2006/1/10,105.26
2006/1/11,104.59
2006/1/12,104.01
2006/1/13,103.44
2006/1/16,104.16
2006/1/17,103.48
2006/1/18,102.4
2006/1/19,103.03
2006/1/20,103.15
2006/1/23,103.91
2006/1/24,103.35
2006/1/25,104.3
2006/2/6,107.34
2006/2/7,107.2
2006/2/8,103.58
2006/2/9,104.29
2006/2/10,104.8
2006/2/13,104.65
2006/2/14,104.88
2006/2/15,104.91
2006/2/16,104.84
2006/2/17,106.08
2006/2/20,105.92
2006/2/21,105.4
2006/2/22,105.48
2006/2/23,104.3
2006/2/24,104.89
2006/2/27,103.96
2006/2/28,104.15
2006/3/1,104.26
2006/3/2,104.3
2006/3/3,104.93
2006/3/6,104.03
2006/3/7,104.23
2006/3/8,103.8
2006/3/9,104.27
2006/3/10,103.61
2006/3/13,103.75
2006/3/14,103.15
2006/3/15,103.3
2006/3/16,102.88
2006/3/17,101.93
2006/3/20,102.64
2006/3/21,102.01
2006/3/22,102.37
2006/3/23,102.18
2006/3/24,102.39
2006/3/27,102.87
2006/3/28,102.51
2006/3/29,102.69
2006/3/30,102.64
2006/3/31,102.93
2006/4/3,101.74
2006/4/4,101.11
2006/4/5,100.97
2006/4/6,101.16
2006/4/7,100.34
2006/4/10,99.57
2006/4/11,99.38
2006/4/12,99.63
2006/4/13,99.13
2006/4/14,99.44
2006/4/17,100.28
2006/4/18,99.79
2006/4/19,100.08
2006/4/20,99.95
2006/4/21,98.98
2006/4/24,99.7
2006/4/25,99.45
2006/4/26,99.64
2006/4/27,99.98
2006/4/28,100.56
2006/5/8,100.75
2006/5/9,102.15
2006/5/10,101.96
2006/5/11,102.54
2006/5/12,102.7
2006/5/15,103.07
2006/5/16,101.11
2006/5/17,102.01
2006/5/18,102.19
2006/5/19,102.15
2006/5/22,101.68
2006/5/23,102.22
2006/5/24,102.88
2006/5/25,102.04
2006/5/26,102.61
2006/5/29,102.59
2006/5/30,102.83
2006/5/31,101.95
2006/6/1,100.38
2006/6/2,101.38
2006/6/5,102.84
2006/6/6,102.93
2006/6/7,102.63
2006/6/8,102.16
2006/6/9,101.87
2006/6/12,102.18
2006/6/13,101.54
2006/6/14,101.05
2006/6/15,100.95
2006/6/16,101.13
2006/6/19,100.47
2006/6/20,100.41
2006/6/21,100.61
2006/6/22,100.63
2006/6/23,100.32
2006/6/26,99.69
2006/6/27,99.78
2006/6/28,99.44
2006/6/29,99.7
2006/6/30,100.3
2006/7/3,100.49
2006/7/4,100.1
2006/7/5,99.75
2006/7/6,99.49
2006/7/7,99.6
2006/7/10,98.56
2006/7/11,99.18
2006/7/12,99.04
2006/7/13,98.31
2006/7/14,97.84
2006/7/17,97.65
2006/7/18,97.19
2006/7/19,97.14
2006/7/20,97.42
2006/7/21,96.73
2006/7/24,96.9
2006/7/25,96.99
2006/7/26,96.65
2006/7/27,96.11
2006/7/28,95.83
2006/7/31,97.34
2006/8/1,96.52
2006/8/2,96.85
2006/8/3,96.92
2006/8/4,97.57
2006/8/7,96.55
2006/8/8,95.89
2006/8/9,96.15
2006/8/10,96.26
2006/8/11,96.24
2006/8/14,95.43
2006/8/15,96.06
2006/8/16,96.29
2006/8/17,96.75
2006/8/18,97.23
2006/8/21,97.09
2006/8/22,97.11
2006/8/23,97.37
2006/8/24,97.33
2006/8/25,97.06
2006/8/28,96.76
2006/8/29,96.54
2006/8/30,96.07
2006/8/31,96.64
2006/9/1,97.01
2006/9/4,96.37
2006/9/5,96.61
2006/9/6,97.67
2006/9/7,96.78
2006/9/8,97.39
2006/9/11,97.06
2006/9/12,97.04
2006/9/13,97.28
2006/9/14,98.03
2006/9/15,98.44
2006/9/18,99.04
2006/9/19,98.8
2006/9/20,98.45
2006/9/21,98.25
2006/9/22,98.45
2006/9/25,97.65
2006/9/26,98.07
2006/9/27,98.11
2006/9/28,98.09
2006/9/29,98.59
2006/10/9,98.52
2006/10/10,99.6
2006/10/11,98.74
2006/10/12,98.85
2006/10/13,99.91
2006/10/16,101.08
2006/10/17,101.81
2006/10/18,100.84
2006/10/19,101.99
2006/10/20,101.73
2006/10/23,101.08
2006/10/24,101.65
2006/10/25,101.77
2006/10/26,101.63
2006/10/27,103.29
2006/10/30,104.41
2006/10/31,103.27
2006/11/1,103.46
2006/11/2,104.76
2006/11/3,104.7
2006/11/6,105.3
2006/11/7,105.25
2006/11/8,105.81
2006/11/9,105.9
2006/11/10,105.41
2006/11/13,106.33
2006/11/14,105.58
2006/11/15,107.24
2006/11/16,109.08
2006/11/17,108.92
2006/11/20,111.39
2006/11/21,109.7
2006/11/22,110.64
2006/11/23,109.82
2006/11/24,110.17
2006/11/27,111.62
2006/11/28,111.08
2006/11/29,108.92
2006/11/30,109.56
2006/12/1,108.8
2006/12/4,107.98
2006/12/5,107.39
2006/12/6,106.75
2006/12/7,106.88
2006/12/8,106.96
2006/12/11,107.51
2006/12/12,108.21
2006/12/13,107.31
2006/12/14,108.26
2006/12/15,107.81
2006/12/18,107.22
2006/12/19,107.27
2006/12/20,107.38
2006/12/21,108.36
2006/12/22,108.63
2006/12/25,110.37
2006/12/26,110.74
2006/12/27,110.22
2006/12/28,110.98
2006/12/29,111.14
2007/1/4,107.85
2007/1/5,108.69
2007/1/8,108.55
2007/1/9,107.89
2007/1/10,108.42
2007/1/11,108.89
2007/1/12,108.34
2007/1/15,112.15
2007/1/16,111.73
2007/1/17,112.02
2007/1/18,112.35
2007/1/19,111.13
2007/1/22,110.99
2007/1/23,111.5
2007/1/24,110.97
2007/1/25,111.39
2007/1/26,110.72
2007/1/29,111.09
2007/1/30,110.54
2007/1/31,111.78
2007/2/1,112.08
2007/2/2,112.06
2007/2/5,112.96
2007/2/6,113.17
2007/2/7,113.25
2007/2/8,112.68
2007/2/9,113.09
2007/2/12,112.82
2007/2/13,112.29
2007/2/14,112.64
2007/2/15,112.95
2007/2/16,113.8
2007/2/26,115.87
2007/2/27,115.29
2007/2/28,114.85
2007/3/1,114.41
2007/3/2,114.43
2007/3/5,114.03
2007/3/6,114.82
2007/3/7,114.44
2007/3/8,114.68
2007/3/9,114.1
2007/3/12,114.38
2007/3/13,114.51
2007/3/14,114.04
2007/3/15,114.43
2007/3/16,114.02
2007/3/19,114.43
2007/3/20,114.61
2007/3/21,114.73
2007/3/22,114.49
2007/3/23,114.72
2007/3/26,114.27
2007/3/27,114.06
2007/3/28,114.28
2007/3/29,114.32
2007/3/30,114.94
2007/4/2,114
2007/4/3,114.85
2007/4/4,114.98
2007/4/5,114.5
2007/4/6,114.07
2007/4/9,114.82
2007/4/10,114.02
2007/4/11,113.93
2007/4/12,113.08
2007/4/13,112.33
2007/4/16,112.37
2007/4/17,111.75
2007/4/18,110.29
2007/4/19,110.56
2007/4/20,110.79
2007/4/23,111.07
2007/4/24,110.57
2007/4/25,111.13
2007/4/26,112.27
2007/4/27,111.88
2007/4/30,111.83
2007/5/8,112.05
2007/5/9,113.01
2007/5/10,112.62
2007/5/11,112.82
2007/5/14,114.23
2007/5/15,113.63
2007/5/16,114.26
2007/5/17,114.08
2007/5/18,114.28
2007/5/21,114.95
2007/5/22,115.05
2007/5/23,114.98
2007/5/24,115.2
2007/5/25,115.45
2007/5/28,116.23
2007/5/29,115.06
2007/5/30,113.82
2007/5/31,114.75
2007/6/1,114.79
2007/6/4,115.18
2007/6/5,115.49
2007/6/6,115.56
2007/6/7,115.43
2007/6/8,114.63
2007/6/11,114.99
2007/6/12,114.1
2007/6/13,113.07
2007/6/14,113.42
2007/6/15,113.21
2007/6/18,114.32
2007/6/19,113.33
2007/6/20,112.87
2007/6/21,113.23
2007/6/22,112.62
2007/6/25,112.37
2007/6/26,111.16
2007/6/27,111.1
2007/6/28,111.28
2007/6/29,111.24
2007/7/2,113.11
2007/7/3,112.82
2007/7/4,112.16
2007/7/5,112.15
2007/7/6,112.74
2007/7/9,111.88
2007/7/10,111.24
2007/7/11,112.17
2007/7/12,113.38
2007/7/13,113.42
2007/7/16,113.47
2007/7/17,112.85
2007/7/18,112.51
2007/7/19,112.26
2007/7/20,113.09
2007/7/23,112.68
2007/7/24,111.84
2007/7/25,112
2007/7/26,112.67
2007/7/27,112.08
2007/7/30,113.8
2007/7/31,114.81
2007/8/1,114.46
2007/8/2,115.13
2007/8/3,116.42
2007/8/6,117.31
2007/8/7,116.11
2007/8/8,116.79
2007/8/9,117.58
2007/8/10,118.03
2007/8/13,119.42
2007/8/14,119.56
2007/8/15,119.2
2007/8/16,117.69
2007/8/17,115.93
2007/8/20,117.7
2007/8/21,118.68
2007/8/22,118.39
2007/8/23,119.23
2007/8/24,119.11
2007/8/27,118.97
2007/8/28,120.4
2007/8/29,120.32
2007/8/30,121.85
2007/8/31,122.95
2007/9/3,123.23
2007/9/4,123.24
2007/9/5,123.64
2007/9/6,123.87
2007/9/7,124.27
2007/9/10,126.38
2007/9/11,126.22
2007/9/12,127.21
2007/9/13,127
2007/9/14,126.98
2007/9/17,129.2
2007/9/18,130.06
2007/9/19,128.32
2007/9/20,128.13
2007/9/21,127.99
2007/9/24,127.21
2007/9/25,127.42
2007/9/26,128.86
2007/9/27,129.45
2007/9/28,129.51
2007/10/8,127.39
2007/10/9,128.39
2007/10/10,130.1
2007/10/11,129.62
2007/10/12,130.2
2007/10/15,131.55
2007/10/16,132.16
2007/10/17,130.88
2007/10/18,131.72
2007/10/19,132.56
2007/10/22,130.87
2007/10/23,131.91
2007/10/24,131.45
2007/10/25,130.48
2007/10/26,132.06
2007/10/29,134.96
2007/10/30,134.11
2007/10/31,133.28
2007/11/1,134.04
2007/11/2,133.33
2007/11/5,134.09
2007/11/6,135.37
2007/11/7,136
2007/11/8,136.15
2007/11/9,136.75
2007/11/12,136.55
2007/11/13,137.07
2007/11/14,137.93
2007/11/15,137.63
2007/11/16,136.73
2007/11/19,137.22
2007/11/20,133.53
2007/11/21,134.92
2007/11/22,136.02
2007/11/23,136.86
2007/11/26,137.65
2007/11/27,135.91
2007/11/28,134.18
2007/11/29,134.38
2007/11/30,132.52
2007/12/3,132.73
2007/12/4,132.61
2007/12/5,133.75
2007/12/6,132.18
2007/12/7,134.04
2007/12/10,135.36
2007/12/11,135.71
2007/12/12,134.7
2007/12/13,135.97
2007/12/14,136.34
2007/12/17,137.51
2007/12/18,135.36
2007/12/19,135.59
2007/12/20,135.7
2007/12/21,135.65
2007/12/24,135.91
2007/12/25,136.02
2007/12/26,137.98
2007/12/27,136.78
2007/12/28,137.84
2008/1/2,137.4
2008/1/3,138.35
2008/1/4,138.8
2008/1/7,139.18
2008/1/8,138.13
2008/1/9,138.97
2008/1/10,138.45
2008/1/11,139.34
2008/1/14,140.63
2008/1/15,139.46
2008/1/16,138
2008/1/17,138.43
2008/1/18,135.89
2008/1/21,136.29
2008/1/22,133.03
2008/1/23,134.15
2008/1/24,133.34
2008/1/25,134.78
2008/1/28,135.04
2008/1/29,136.03
2008/1/30,135.52
2008/1/31,135.87
2008/2/1,137.13
2008/2/4,138.17
2008/2/5,139.51
2008/2/13,140.25
2008/2/14,142.24
2008/2/15,143.29
2008/2/18,146.85
2008/2/19,147.01
2008/2/20,146.72
2008/2/21,149.16
2008/2/22,148.17
2008/2/25,150.33
2008/2/26,148.72
2008/2/27,149.88
2008/2/28,149.71
2008/2/29,152.64
2008/3/3,157.63
2008/3/4,154.76
2008/3/5,152.75
2008/3/6,152.96
2008/3/7,149.48
2008/3/10,146.03
2008/3/11,148.75
2008/3/12,145.08
2008/3/13,146.6
2008/3/14,146.29
2008/3/17,143.06
2008/3/18,138.29
2008/3/19,138.8
2008/3/20,137.16
2008/3/21,136.14
2008/3/24,137.61
2008/3/25,139.8
2008/3/26,140.06
2008/3/27,138.76
2008/3/28,137.67
2008/3/31,138.41
2008/4/1,132.46
2008/4/2,132.49
2008/4/3,133.01
2008/4/7,135.52
2008/4/8,134.28
2008/4/9,135.44
2008/4/10,137.1
2008/4/11,136.99
2008/4/14,139.35
2008/4/15,141.43
2008/4/16,141.07
2008/4/17,140.52
2008/4/18,141.21
2008/4/21,137.96
2008/4/22,137.07
2008/4/23,139.18
2008/4/24,139.22
2008/4/25,137.86
2008/4/28,139.64
2008/4/29,137.94
2008/4/30,138.18
2008/5/5,139.46
2008/5/6,140.97
2008/5/7,139.97
2008/5/8,140.88
2008/5/9,141.3
2008/5/12,144.52
2008/5/13,143.61
2008/5/14,144.01
2008/5/15,143.14
2008/5/16,143.88
2008/5/19,143.03
2008/5/20,143.22
2008/5/21,142.05
2008/5/22,143.26
2008/5/23,142.76
2008/5/26,144.52
2008/5/27,144.93
2008/5/28,144.38
2008/5/29,143.8
2008/5/30,141.85
2008/6/2,142.63
2008/6/3,143.66
2008/6/4,142.79
2008/6/5,143.9
2008/6/6,146.56
2008/6/10,148.01
2008/6/11,148.34
2008/6/12,149.93
2008/6/13,150.01
2008/6/16,151.96
2008/6/17,150.77
2008/6/18,151.7
2008/6/19,151.05
2008/6/20,149.99
2008/6/23,149.35
2008/6/24,148.74
2008/6/25,150.11
2008/6/26,150.46
2008/6/27,151.98
2008/6/30,151.83
2008/7/1,152.15
2008/7/2,153.49
2008/7/3,151.06
2008/7/4,152.23
2008/7/7,150.05
2008/7/8,146.79
2008/7/9,147.63
2008/7/10,146.88
2008/7/11,149.63
2008/7/14,148.24
2008/7/15,148.94
2008/7/16,147.99
2008/7/17,148.62
2008/7/18,146.61
2008/7/21,142.62
2008/7/22,142.66
2008/7/23,140.07
2008/7/24,140.91
2008/7/25,141.22
2008/7/28,141.94
2008/7/29,138.65
2008/7/30,139.53
2008/7/31,139.74
2008/8/1,136.97
2008/8/4,132.55
2008/8/5,129.02
2008/8/6,129.56
2008/8/7,129.96
2008/8/8,128.82
2008/8/11,125.26
2008/8/12,126.6
2008/8/13,129.6
2008/8/14,130.35
2008/8/15,126.26
2008/8/18,129.8
2008/8/19,128.85
2008/8/20,131.42
2008/8/21,131.48
2008/8/22,131.48
2008/8/25,133.08
2008/8/26,130.47
2008/8/27,132.71
2008/8/28,131.79
2008/8/29,132.51
2008/9/1,133.72
2008/9/2,130.5
2008/9/3,130.59
2008/9/4,129.86
2008/9/5,128.48
2008/9/8,127.83
2008/9/9,125.46
2008/9/10,126.34
2008/9/11,125.55
2008/9/12,127.71
2008/9/16,123.05
2008/9/17,123.17
2008/9/18,122.18
2008/9/19,122.82
2008/9/22,126.24
2008/9/23,125.73
2008/9/24,126.08
2008/9/25,125.55
2008/9/26,125.4
2008/10/6,119.39
2008/10/7,116.19
2008/10/8,112.53
2008/10/9,113.12
2008/10/10,108.58
2008/10/13,109.42
2008/10/14,110.07
2008/10/15,108.84
2008/10/16,105.32
2008/10/17,109.66
2008/10/20,113.12
2008/10/21,110.56
2008/10/22,108.94
2008/10/23,109.89
2008/10/24,108.97
2008/10/27,108.23
2008/10/28,111.81
2008/10/29,111.01
2008/10/30,112.28
2008/10/31,111.6
2008/11/3,111.69
2008/11/4,109.6
2008/11/5,110.16
2008/11/6,108.39
2008/11/7,109.41
2008/11/10,110.62
2008/11/11,108.32
2008/11/12,107.76
2008/11/13,106.41
2008/11/14,107.18
2008/11/17,107.24
2008/11/18,107.2
2008/11/19,108.63
2008/11/20,107.83
2008/11/21,106.59
2008/11/24,106.46
2008/11/25,106.22
2008/11/26,106.56
2008/11/27,106.04
2008/11/28,105.01
2008/12/1,104.42
2008/12/2,102.49
2008/12/3,102.59
2008/12/4,101.03
2008/12/5,98.61
2008/12/8,100.23
2008/12/9,98.98
2008/12/10,100.34
2008/12/11,99.79
2008/12/12,99.7
2008/12/15,101.97
2008/12/16,101.01
2008/12/17,101.49
2008/12/18,100.91
2008/12/19,101.53
2008/12/22,103.8
2008/12/23,103.07
2008/12/24,104.07
2008/12/25,104.13
2008/12/26,104.16
2008/12/29,106.12
2008/12/30,105.49
2008/12/31,105.89
2009/1/5,107.44
2009/1/6,108.88
2009/1/7,108.5
2009/1/8,107.91
2009/1/9,109.23
2009/1/12,111.31
2009/1/13,108.6
2009/1/14,110.67
